#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 07 23 00 329  7.9  8.7 99.00 99.00 99.00 999 1021.0  23.5  26.0  18.6 99.0 99.00
2015 01 08 00 00 333  6.3  7.0 99.00 99.00 99.00 999 1021.3  23.7  25.9  17.9 99.0 99.00
2015 01 08 01 00 338  6.8  7.9 99.00 99.00 99.00 999 1021.5  23.7  25.7  15.6 99.0 99.00
2015 01 08 02 00 344  8.3  9.1 99.00 99.00 99.00 999 1021.8  22.9  25.6  12.8 99.0 99.00
2015 01 08 03 00 359  6.6  7.6 99.00 99.00 99.00 999 1021.8  22.4  25.6  13.7 99.0 99.00
2015 01 08 04 00   0  9.1 10.3 99.00 99.00 99.00 999 1022.0  21.6  25.4  11.8 99.0 99.00
2015 01 08 05 00   0  9.8 11.2 99.00 99.00 99.00 999 1022.3  20.3  25.2  11.7 99.0 99.00
2015 01 08 06 00   1  9.8 10.9 99.00 99.00 99.00 999 1022.4  19.1  24.9  10.8 99.0 99.00
2015 01 08 07 00   8 10.4 11.3 99.00 99.00 99.00 999 1022.6  18.8  24.5  10.4 99.0 99.00
2015 01 08 08 00   6 11.7 12.7 99.00 99.00 99.00 999 1022.7  17.6  24.0   6.5 99.0 99.00
2015 01 08 09 00  17 10.5 12.0 99.00 99.00 99.00 999 1023.0  16.6  23.8   9.9 99.0 99.00
2015 01 08 10 00  15 11.7 12.9 99.00 99.00 99.00 999 1023.5  16.1  23.5   9.5 99.0 99.00
2015 01 08 11 00  22 12.2 14.0 99.00 99.00 99.00 999 1023.5  15.9  23.1   9.2 99.0 99.00
2015 01 08 12 00  17 11.4 13.4 99.00 99.00 99.00 999 1024.1  15.8  22.8  10.7 99.0 99.00
2015 01 08 13 00  22 12.5 15.0 99.00 99.00 99.00 999 1024.8  15.5  22.5  10.9 99.0 99.00
2015 01 08 14 00  24 14.2 16.0 99.00 99.00 99.00 999 1025.2  15.2  22.0  10.7 99.0 99.00
2015 01 08 15 00  25 11.7 13.6 99.00 99.00 99.00 999 1025.4  15.5  21.9  10.8 99.0 99.00
2015 01 08 16 00  23  9.6 11.4 99.00 99.00 99.00 999 1024.8  16.8  22.0  11.6 99.0 99.00
2015 01 08 17 00  28 10.1 11.4 99.00 99.00 99.00 999 1024.0  17.3  22.2  11.8 99.0 99.00
2015 01 08 18 00  23  9.0 10.2 99.00 99.00 99.00 999 1023.1  18.6  22.3  12.9 99.0 99.00
2015 01 08 19 00  33  9.7 10.5 99.00 99.00 99.00 999 1022.4  19.3  22.4  12.7 99.0 99.00
2015 01 08 20 00  30  8.1  9.6 99.00 99.00 99.00 999 1022.3  20.7  22.5  14.5 99.0 99.00
