#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 07 12 00  21  7.5  8.2 99.00 99.00 99.00 999 1023.4   8.0  12.2 999.0 99.0 99.00
2010 01 07 13 00  19  5.5  6.3 99.00 99.00 99.00 999 1023.9   7.9  12.1 999.0 99.0 99.00
2010 01 07 14 00  33  4.0  4.3 99.00 99.00 99.00 999 1024.5   8.2  12.1 999.0 99.0 99.00
2010 01 07 15 00   9  3.9  4.4 99.00 99.00 99.00 999 1024.8   8.5  12.1 999.0 99.0 99.00
2010 01 07 16 00   2  4.4  5.0 99.00 99.00 99.00 999 1024.5   8.6  12.2 999.0 99.0 99.00
2010 01 07 17 00  12  4.4  5.4 99.00 99.00 99.00 999 1023.4   9.1  12.2 999.0 99.0 99.00
2010 01 07 18 00  13  4.9  5.5 99.00 99.00 99.00 999 1022.4   9.5  12.2 999.0 99.0 99.00
2010 01 07 19 00   4  4.1  4.7 99.00 99.00 99.00 999 1021.6  10.3  12.3 999.0 99.0 99.00
2010 01 07 20 00 356  5.5  6.0 99.00 99.00 99.00 999 1021.2  11.1  12.4 999.0 99.0 99.00
2010 01 07 21 00 351  4.7  5.1 99.00 99.00 99.00 999 1021.2  11.9  12.5 999.0 99.0 99.00
2010 01 07 22 00 339  3.3  3.9 99.00 99.00 99.00 999 1021.6  12.4  12.5 999.0 99.0 99.00
2010 01 07 23 00 350  3.6  3.8 99.00 99.00 99.00 999 1021.5  12.7  12.5 999.0 99.0 99.00
2010 01 08 00 00   2  2.7  3.0 99.00 99.00 99.00 999 1021.3  12.7  12.4 999.0 99.0 99.00
2010 01 08 01 00  22  4.0  4.4 99.00 99.00 99.00 999 1021.3  12.6  12.4 999.0 99.0 99.00
2010 01 08 02 00  23  4.1  4.4 99.00 99.00 99.00 999 1021.4  12.4  12.3 999.0 99.0 99.00
2010 01 08 03 00  20  3.6  3.9 99.00 99.00 99.00 999 1021.2  12.1  12.3 999.0 99.0 99.00
2010 01 08 04 00  35  3.9  4.4 99.00 99.00 99.00 999 1020.9  12.1  12.3 999.0 99.0 99.00
2010 01 08 05 00  17  3.3  3.7 99.00 99.00 99.00 999 1020.5  12.0  12.3 999.0 99.0 99.00
2010 01 08 06 00  18  4.4  4.9 99.00 99.00 99.00 999 1020.3  12.0  12.3 999.0 99.0 99.00
2010 01 08 07 00  31  3.3  3.8 99.00 99.00 99.00 999 1019.8  12.0  12.2 999.0 99.0 99.00
2010 01 08 08 00  29  5.1  5.8 99.00 99.00 99.00 999 1019.2  12.0  12.2 999.0 99.0 99.00
2010 01 08 09 00  17  3.3  3.7 99.00 99.00 99.00 999 1019.4  12.0  12.1 999.0 99.0 99.00
2010 01 08 10 00 348  4.3  4.7 99.00 99.00 99.00 999 1019.3  11.9  12.0 999.0 99.0 99.00
