YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 06 22 00 136  5.1  5.9 99.00 99.00 99.00 999 1017.9  24.0  22.5  20.9 99.0  0.70
2005 01 06 23 00 128  4.9  5.6 99.00 99.00 99.00 999 1018.3  23.4  22.5  20.6 99.0  0.69
2005 01 07 00 00 128  5.2  5.7 99.00 99.00 99.00 999 1018.7  23.4  22.5  20.6 99.0  0.61
2005 01 07 01 00 108  4.2  5.0 99.00 99.00 99.00 999 1019.1  23.3  22.4  20.5 99.0  0.51
2005 01 07 02 00 122  4.2  4.6 99.00 99.00 99.00 999 1019.5  23.4  22.4  20.5 99.0  0.45
2005 01 07 03 00 115  4.5  4.9 99.00 99.00 99.00 999 1019.9  23.4  22.4  20.5 99.0  0.35
2005 01 07 04 00 115  3.9  4.4 99.00 99.00 99.00 999 1020.0  23.3  22.4  20.9 99.0  0.29
2005 01 07 05 00 117  4.9  5.5 99.00 99.00 99.00 999 1019.7  23.4  22.5  20.5 99.0  0.24
2005 01 07 06 00 128  4.8  5.5 99.00 99.00 99.00 999 1019.5  23.5  22.5  20.5 99.0  0.15
2005 01 07 07 00 128  5.4  5.9 99.00 99.00 99.00 999 1019.3  23.3  22.4  20.8 99.0 -0.03
2005 01 07 08 00 135  6.4  7.2 99.00 99.00 99.00 999 1019.0  23.4  22.3  20.5 99.0 -0.22
2005 01 07 09 00 127  5.0  5.5 99.00 99.00 99.00 999 1019.1  23.3  22.3  20.4 99.0 -0.18
2005 01 07 10 00 114  4.8  5.6 99.00 99.00 99.00 999 1019.2  23.3  22.2  20.4 99.0 -0.04
2005 01 07 11 00 128  5.2  5.9 99.00 99.00 99.00 999 1019.6  23.2  22.2  20.1 99.0  0.05
2005 01 07 12 00 129  4.6  5.0 99.00 99.00 99.00 999 1020.3  23.3  22.2  20.3 99.0  0.08
2005 01 07 13 00 145  5.7  6.3 99.00 99.00 99.00 999 1021.1  23.6  22.2  19.9 99.0  0.04
2005 01 07 14 00 132  5.6  6.4 99.00 99.00 99.00 999 1022.0  24.0  22.2  19.2 99.0 -0.05
2005 01 07 15 00 123  5.5  6.2 99.00 99.00 99.00 999 1022.6  24.4  22.2  19.4 99.0 -0.18
2005 01 07 16 00 124  5.9  6.5 99.00 99.00 99.00 999 1022.6  24.4  22.3  19.4 99.0 -0.11
2005 01 07 17 00 113  4.7  6.1 99.00 99.00 99.00 999 1022.2  24.3  22.6  19.5 99.0 -0.08
2005 01 07 18 00 121  6.3  7.1 99.00 99.00 99.00 999 1021.1  24.3  22.9  18.0 99.0  0.05
