YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 06 18 173  1.5  2.4 99.00 99.00 99.00 999 1017.6  24.9 999.0 999.0 99.0
97 01 06 19  84  2.7  3.0 99.00 99.00 99.00 999 1016.7  25.0 999.0 999.0 99.0
97 01 06 20  29   .4  1.2 99.00 99.00 99.00 999 1016.4  24.9 999.0 999.0 99.0
97 01 06 21  75  3.4  3.9 99.00 99.00 99.00 999 1016.4  24.9 999.0 999.0 99.0
97 01 06 22  69  2.9  3.4 99.00 99.00 99.00 999 1016.5  24.8 999.0 999.0 99.0
97 01 06 23  86  2.8  3.4 99.00 99.00 99.00 999 1017.0  24.7 999.0 999.0 99.0
97 01 07 00 112  3.5  3.8 99.00 99.00 99.00 999 1017.2  24.8 999.0 999.0 99.0
97 01 07 01 103  4.4  4.7 99.00 99.00 99.00 999 1017.8  24.7 999.0 999.0 99.0
97 01 07 02 104  5.4  5.8 99.00 99.00 99.00 999 1017.8  24.7 999.0 999.0 99.0
97 01 07 03  99  5.4  5.9 99.00 99.00 99.00 999 1018.4  24.7 999.0 999.0 99.0
97 01 07 04 126  4.7  5.4 99.00 99.00 99.00 999 1018.2  24.6 999.0 999.0 99.0
97 01 07 05 132  4.3  4.9 99.00 99.00 99.00 999 1017.9  24.4 999.0 999.0 99.0
97 01 07 06 128  4.5  5.0 99.00 99.00 99.00 999 1017.6  24.4 999.0 999.0 99.0
97 01 07 07 149  5.0  5.7 99.00 99.00 99.00 999 1017.4  24.4 999.0 999.0 99.0
97 01 07 08 138  4.7  5.4 99.00 99.00 99.00 999 1017.1  24.4 999.0 999.0 99.0
97 01 07 09 134  4.5  5.0 99.00 99.00 99.00 999 1017.0  24.3 999.0 999.0 99.0
97 01 07 10 148  4.3  5.0 99.00 99.00 99.00 999 1016.8  24.5 999.0 999.0 99.0
97 01 07 11 153  5.7  6.4 99.00 99.00 99.00 999 1017.2  24.3 999.0 999.0 99.0
97 01 07 12 149  4.5  5.1 99.00 99.00 99.00 999 9999.0  24.3 999.0 999.0 99.0
97 01 07 13 155  4.5  5.0 99.00 99.00 99.00 999 1017.8  24.6 999.0 999.0 99.0
97 01 07 14 174  4.5  5.2 99.00 99.00 99.00 999 1018.0  24.8 999.0 999.0 99.0
97 01 07 15 178  4.6  5.4 99.00 99.00 99.00 999 1018.8  24.9 999.0 999.0 99.0
97 01 07 16 289  4.2  4.6 99.00 99.00 99.00 999 1019.1  22.9 999.0 999.0 99.0
97 01 07 17 299  2.9  3.4 99.00 99.00 99.00 999 1018.5  23.3 999.0 999.0 99.0
97 01 07 18 323  2.8  3.0 99.00 99.00 99.00 999 1017.8  23.2 999.0 999.0 99.0
97 01 07 19 343  1.3  1.4 99.00 99.00 99.00 999 1017.0  24.0 999.0 999.0 99.0
97 01 07 20 324  1.0  1.4 99.00 99.00 99.00 999 1016.6  24.9 999.0 999.0 99.0
