Station,DBKEY,Daily.Date,Data.Value,Qualifier,Revision Date
NP-TSB,H3153,11/1/1961,1.3,,18-Dec-15
NP-TSB,H3153,11/2/1961,1.13,,18-Dec-15
NP-TSB,H3153,11/3/1961,1.01,,18-Dec-15
NP-TSB,H3153,11/4/1961,0.9,,18-Dec-15
NP-TSB,H3153,11/5/1961,0.84,,18-Dec-15
NP-TSB,H3153,11/6/1961,0.75,,18-Dec-15
NP-TSB,H3153,11/7/1961,0.84,,18-Dec-15
NP-TSB,H3153,11/8/1961,1.13,,18-Dec-15
NP-TSB,H3153,11/9/1961,1.01,,18-Dec-15
NP-TSB,H3153,11/10/1961,0.87,,18-Dec-15
NP-TSB,H3153,11/11/1961,0,,19-Mar-98
NP-TSB,H3153,11/12/1961,0,,19-Mar-98
NP-TSB,H3153,11/13/1961,0,,19-Mar-98
NP-TSB,H3153,11/14/1961,0,,19-Mar-98
NP-TSB,H3153,11/15/1961,0,,19-Mar-98
NP-TSB,H3153,11/16/1961,0,,19-Mar-98
NP-TSB,H3153,11/17/1961,0,,19-Mar-98
NP-TSB,H3153,11/18/1961,0,,19-Mar-98
NP-TSB,H3153,11/19/1961,0,,19-Mar-98
NP-TSB,H3153,11/20/1961,0,,19-Mar-98
NP-TSB,H3153,11/21/1961,0,,19-Mar-98
NP-TSB,H3153,11/22/1961,0,,19-Mar-98
NP-TSB,H3153,11/23/1961,0,,19-Mar-98
NP-TSB,H3153,11/24/1961,0,,19-Mar-98
NP-TSB,H3153,11/25/1961,0,,19-Mar-98
NP-TSB,H3153,11/26/1961,0,,19-Mar-98
NP-TSB,H3153,11/27/1961,0,,19-Mar-98
NP-TSB,H3153,11/28/1961,0,,19-Mar-98
NP-TSB,H3153,11/29/1961,0,,19-Mar-98
NP-TSB,H3153,11/30/1961,0,,19-Mar-98
NP-TSB,H3153,12/1/1961,0,,19-Mar-98
NP-TSB,H3153,12/2/1961,0,,19-Mar-98
NP-TSB,H3153,12/3/1961,0,,19-Mar-98
